# x u_initial u_computed u_exact
0.8 17.9989 18.0009 18
1 15 15 15

# Iteration 37
0 30 30 30
0.2 26.9991 27.0007 27
0.4 24.0015 23.9988 24
0.6 20.9985 21.0012 21
0.8 18.0009 17.9993 18
1 15 15 15

# Iteration 38
0 30 30 30
0.2 27.0007 26.9994 27
0.4 23.9988 24.001 24
0.6 21.0012 20.999 21
0.8 17.9993 18.0006 18
1 15 15 15

# Iteration 39
0 30 30 30
0.2 26.9994 27.0005 27
0.4 24.001 23.9992 24
0.6 20.999 21.0008 21
0.8 18.0006 17.9995 18
1 15 15 15

# Iteration 40
0 30 30 30
0.2 27.0005 26.9996 27
0.4 23.9992 24.0006 24
0.6 21.0008 20.9994 21
0.8 17.9995 18.0004 18
1 15 15 15

# Iteration 41
0 30 30 30
0.2 26.9996 27.0003 27
0.4 24.0006 23.9995 24
0.6 20.9994 21.0005 21
0.8 18.0004 17.9997 18
1 15 15 15

# Iteration 42
0 30 30 30
0.2 27.0003 26.9997 27
0.4 23.9995 24.0004 24
0.6 21.0005 20.9996 21
0.8 17.9997 18.0003 18
1 15 15 15

# Iteration 43
0 30 30 30
0.2 26.9997 27.0002 27
0.4 24.0004 23.9997 24
0.6 20.9996 21.0003 21
0.8 18.0003 17.9998 18
1 15 15 15

# Iteration 44
0 30 30 30
0.2 27.0002 26.9998 27
0.4 23.9997 24.0003 24
0.6 21.0003 20.9997 21
0.8 17.9998 18.0002 18
1 15 15 15

# Iteration 45
0 30 30 30
0.2 26.9998 27.0001 27
0.4 24.0003 23.9998 24
0.6 20.9997 21.0002 21
0.8 18.0002 17.9999 18
1 15 15 15

# Iteration 46
0 30 30 30
0.2 27.0001 26.9999 27
0.4 23.9998 24.0002 24
0.6 21.0002 20.9998 21
0.8 17.9999 18.0001 18
1 15 15 15

# Iteration 47
0 30 30 30
0.2 26.9999 27.0001 27
0.4 24.0002 23.9999 24
0.6 20.9998 21.0001 21
0.8 18.0001 17.9999 18
1 15 15 15

# Iteration 48
0 30 30 30
0.2 27.0001 26.9999 27
0.4 23.9999 24.0001 24
0.6 21.0001 20.9999 21
0.8 17.9999 18.0001 18
1 15 15 15

# Iteration 49
0 30 30 30
0.2 26.9999 27.0001 27
0.4 24.0001 23.9999 24
0.6 20.9999 21.0001 21
0.8 18.0001 17.9999 18
1 15 15 15

# Iteration 50
0 30 30 30
0.2 27.0001 27 27
0.4 23.9999 24.0001 24
0.6 21.0001 20.9999 21
0.8 17.9999 18 18
1 15 15 15

# Iteration 51
0 30 30 30
0.2 27 27 27
0.4 24.0001 23.9999 24
0.6 20.9999 21.0001 21
0.8 18 18 18
1 15 15 15

# Iteration 52
0 30 30 30
0.2 27 27 27
0.4 23.9999 24 24
0.6 21.0001 21 21
0.8 18 18 18
1 15 15 15

# Iteration 53
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 54
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 55
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 56
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 57
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 58
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 59
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 60
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 61
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 62
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 63
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15

# Iteration 64
0 30 30 30
0.2 27 27 27
0.4 24 24 24
0.6 21 21 21
0.8 18 18 18
1 15 15 15
